Purpose,Period,AccessMode,SegID,Direction,IB_OB,Mode,Name,LongName,Distance,Time,Speed,Headway,Riders,FromSkim_LCL,FromSkim_COR,FromSkim_BRT,FromSkim_EXP,FromSkim_LRT,FromSkim_CRT
All,ok,drive,0006_173.4,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.25,      0.71,  21.1,     30.00,     19.60,     19.60,         0,         0,         0,         0,         0
All,ok,drive,0006_173.7,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.27,      0.68,  23.8,     30.00,     19.80,     19.80,         0,         0,         0,         0,         0
All,ok,drive,0015_257.6,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.60,      0.98,  36.7,     30.00,     19.60,     19.60,         0,         0,         0,         0,         0
All,ok,drive,0015_258.8,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.68,      1.11,  36.8,     30.00,     19.60,     19.60,         0,         0,         0,         0,         0
All,ok,drive,0015_260.0,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      1.39,      2.94,  28.4,     30.00,     17.60,     17.60,         0,         0,         0,         0,         0
All,ok,drive,0015_261.8,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.65,      1.46,  26.7,     30.00,     17.60,     17.60,         0,         0,         0,         0,         0
All,ok,drive,0077_006.6,WB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.10,      0.37,  16.2,     30.00,      4.20,      0.90,         0,      0.10,         0,         0,      3.20
All,ok,drive,0156_000.0,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.18,      0.71,  15.2,     30.00,      3.10,      3.10,         0,         0,         0,         0,         0
All,ok,drive,0156_000.2,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.10,      0.46,  13.0,     30.00,      3.10,      3.10,         0,         0,         0,         0,         0
All,ok,drive,0178_000.0,EB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.44,      1.25,  21.1,     30.00,      4.00,      4.00,         0,         0,         0,         0,         0
All,ok,drive,0178_000.7,EB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.21,      0.58,  21.7,     30.00,      4.00,      4.00,         0,         0,         0,         0,         0
All,ok,drive,0178_001.0,EB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.31,      0.87,  21.4,     30.00,      4.00,      4.00,         0,         0,         0,         0,         0
All,ok,drive,0189_000.2,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.44,      1.78,  14.8,     30.00,     17.60,     17.60,         0,         0,         0,         0,         0
All,ok,drive,0189_000.6,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.49,      1.94,  15.2,     30.00,     16.20,     16.20,         0,         0,         0,         0,         0
All,ok,drive,0198_004.4,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.63,      1.81,  20.9,     30.00,      4.00,      4.00,         0,         0,         0,         0,         0
All,ok,drive,0198_005.0,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.26,      0.71,  22.0,     30.00,      4.00,      4.00,         0,         0,         0,         0,         0
