Purpose,Period,AccessMode,SegID,Direction,IB_OB,Mode,Name,LongName,Distance,Time,Speed,Headway,Riders,FromSkim_LCL,FromSkim_COR,FromSkim_BRT,FromSkim_EXP,FromSkim_LRT,FromSkim_CRT
All,ok,drive,0073_033.3,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      1.33,      3.53,  22.6,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0073_034.6,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.78,      2.07,  22.6,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0073_035.4,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.24,      0.64,  22.5,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0145_000.0,SB,IB,      4.00,Cedar_Exp,Cedar_Exp,      1.03,      2.58,  24.0,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0145_001.1,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.27,      0.64,  25.3,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_001.4,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      1.41,      3.56,  23.8,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_002.8,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.52,      1.24,  25.2,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_003.3,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.51,      1.25,  24.5,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_003.8,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.53,      1.25,  25.4,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_004.4,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.43,      1.04,  24.8,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_004.8,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.42,      1.04,  24.2,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_005.3,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.39,      0.91,  25.7,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2881_004.7,SB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.92,      2.47,  22.3,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2881_005.7,SB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.89,      2.53,  21.1,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
