Purpose,Period,AccessMode,SegID,Direction,IB_OB,Mode,Name,LongName,Distance,Time,Speed,Headway,Riders,FromSkim_LCL,FromSkim_COR,FromSkim_BRT,FromSkim_EXP,FromSkim_LRT,FromSkim_CRT
All,ok,drive,0073_033.3,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      1.33,      3.52,  22.7,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0073_034.6,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.78,      2.08,  22.5,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0073_035.4,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.24,      0.60,  24.0,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0145_000.0,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      1.03,      2.58,  24.0,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0145_001.1,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.27,      0.64,  25.3,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_001.4,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      1.41,      3.33,  25.4,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_002.8,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.52,      1.19,  26.2,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_003.3,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.51,      1.20,  25.5,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_003.8,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.53,      1.21,  26.3,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_004.4,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.43,      1.00,  25.8,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_004.8,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.42,      0.98,  25.7,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_005.3,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.39,      1.00,  23.4,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2881_004.7,SB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.92,      2.40,  23.0,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2881_005.7,SB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.89,      2.31,  23.1,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2881_006.5,SB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.55,      1.47,  22.4,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2881_007.1,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      1.51,      3.68,  24.6,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2881_008.6,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      1.13,      3.41,  19.9,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2889_000.0,SB,IB,      4.00,Cedar_Exp,Cedar_Exp,      1.33,      3.98,  20.1,     60.00,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,2935_000.0,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.74,      2.26,  19.6,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2944_000.0,SB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.32,      0.94,  20.4,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0073_033.3,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      1.30,      3.51,  22.2,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0073_034.6,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.78,      2.10,  22.3,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0073_035.4,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.24,      0.63,  22.9,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_000.0,NB,OB,      4.00,Cedar_Exp,Cedar_Exp,      1.03,      2.60,  23.8,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_001.1,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.27,      0.63,  25.7,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_001.4,NB,OB,      4.00,Cedar_Exp,Cedar_Exp,      1.41,      3.31,  25.6,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_002.8,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.52,      1.18,  26.4,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_003.3,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.51,      1.19,  25.7,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_003.8,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.53,      1.20,  26.5,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_004.4,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.43,      0.99,  26.1,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_004.8,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.42,      0.98,  25.7,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_005.3,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.39,      1.00,  23.4,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2881_004.7,NB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.92,      2.40,  23.0,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2881_005.7,NB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.89,      2.31,  23.1,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2881_006.5,NB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.55,      1.46,  22.6,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2881_007.1,NB,OB,      4.00,Cedar_Exp,Cedar_Exp,      1.51,      3.64,  24.9,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2881_008.6,NB,OB,      4.00,Cedar_Exp,Cedar_Exp,      1.13,      3.43,  19.8,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2889_000.0,NB,OB,      4.00,Cedar_Exp,Cedar_Exp,      1.28,      3.79,  20.3,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2935_000.0,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.74,      2.25,  19.7,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2944_000.0,NB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.32,      0.94,  20.4,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0006_158.5,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.25,      0.65,  23.1,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_159.6,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.23,      0.59,  23.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_159.8,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.44,      1.15,  23.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_160.3,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.18,      0.49,  22.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_173.4,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.50,      1.24,  24.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_173.7,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.54,      1.36,  23.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_174.0,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.24,      0.60,  24.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_174.4,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.63,      1.56,  24.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_244.8,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.62,      2.53,  38.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_246.9,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.40,      2.17,  38.7,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_248.8,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.54,      2.30,  40.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_250.3,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.13,      0.20,  39.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_250.9,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.19,      0.29,  39.3,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_251.6,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.62,      0.96,  38.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_252.5,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.03,      1.62,  38.1,         0,         0,         0,         0,         0,         0,         0,         0
