Purpose,Period,AccessMode,SegID,Direction,IB_OB,Mode,Name,LongName,Distance,Time,Speed,Headway,Riders,FromSkim_LCL,FromSkim_COR,FromSkim_BRT,FromSkim_EXP,FromSkim_LRT,FromSkim_CRT
All,ok,drive,0073_033.3,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      1.30,      5.11,  15.3,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0073_034.6,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.78,      4.45,  10.5,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0073_035.4,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.24,      0.60,  24.0,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0145_000.0,SB,IB,      4.00,Cedar_Exp,Cedar_Exp,      1.03,      2.58,  24.0,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0145_001.1,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.27,      0.62,  26.1,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_001.4,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      1.41,      4.61,  18.4,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_002.8,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.52,      1.35,  23.1,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_003.3,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.51,      1.38,  22.2,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_003.8,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.53,      1.34,  23.7,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_004.4,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.43,      1.08,  23.9,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_004.8,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.42,      1.08,  23.3,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0145_005.3,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.39,      0.89,  26.3,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2881_004.7,SB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.92,      2.42,  22.8,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2881_005.7,SB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.89,      2.34,  22.8,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2881_006.5,SB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.55,      1.50,  22.0,     60.00,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,2881_007.1,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      1.51,      3.68,  24.6,     60.00,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,2881_008.6,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      1.13,      3.44,  19.7,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2889_000.0,SB,IB,      4.00,Cedar_Exp,Cedar_Exp,      1.33,      3.79,  21.1,     60.00,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,2935_000.0,EB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.74,      2.23,  19.9,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2944_000.0,SB,IB,      4.00,Cedar_Exp,Cedar_Exp,      0.32,      0.94,  20.4,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0073_033.3,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      1.30,      4.70,  16.6,     60.00,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,0073_034.6,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.78,      3.46,  13.5,     60.00,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,0073_035.4,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.24,      0.60,  24.0,     60.00,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,0145_000.0,NB,OB,      4.00,Cedar_Exp,Cedar_Exp,      1.03,      2.58,  24.0,     60.00,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,0145_001.1,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.27,      0.82,  19.8,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0145_001.4,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      1.41,      4.37,  19.4,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0145_002.8,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.52,      1.37,  22.8,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0145_003.3,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.51,      1.45,  21.1,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0145_003.8,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.53,      1.38,  23.0,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0145_004.4,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.43,      1.10,  23.5,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0145_004.8,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.42,      1.12,  22.5,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0145_005.3,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.39,      0.89,  26.3,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2881_004.7,NB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.92,      2.42,  22.8,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2881_005.7,NB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.89,      2.32,  23.0,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2881_006.5,NB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.55,      1.50,  22.0,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2881_007.1,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      1.51,      3.68,  24.6,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2881_008.6,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      1.13,      3.43,  19.8,     60.00,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,2889_000.0,NB,OB,      4.00,Cedar_Exp,Cedar_Exp,      1.33,      3.85,  20.7,     60.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2935_000.0,WB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.74,      2.23,  19.9,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2944_000.0,NB,OB,      4.00,Cedar_Exp,Cedar_Exp,      0.32,      0.94,  20.4,     60.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_173.4,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.25,      0.78,  19.2,     30.00,      3.20,      3.20,         0,         0,         0,         0,         0
All,ok,drive,0006_173.7,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.27,      0.69,  23.5,     30.00,      3.40,      3.40,         0,         0,         0,         0,         0
All,ok,drive,0015_257.6,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.60,      0.97,  37.1,     30.00,      3.20,      3.20,         0,         0,         0,         0,         0
All,ok,drive,0015_258.8,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.68,      1.08,  37.8,     30.00,      3.20,      3.20,         0,         0,         0,         0,         0
All,ok,drive,0015_260.0,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      1.39,      2.60,  32.1,     30.00,      1.90,      1.90,         0,         0,         0,         0,         0
All,ok,drive,0015_261.8,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.65,      1.30,  30.0,     30.00,      1.90,      1.90,         0,         0,         0,         0,         0
All,ok,drive,0077_006.6,WB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.10,      0.37,  16.2,     30.00,      5.70,      1.00,         0,         0,         0,         0,      4.70
All,ok,drive,0156_000.0,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.18,      0.71,  15.2,     30.00,      0.50,      0.50,         0,         0,         0,         0,         0
All,ok,drive,0156_000.2,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.10,      0.45,  13.3,     30.00,      0.50,      0.50,         0,         0,         0,         0,         0
All,ok,drive,0178_000.0,EB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.44,      1.25,  21.1,     30.00,      1.40,      1.40,         0,         0,         0,         0,         0
All,ok,drive,0178_000.7,EB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.21,      0.58,  21.7,     30.00,      1.40,      1.40,         0,         0,         0,         0,         0
All,ok,drive,0178_001.0,EB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.31,      0.87,  21.4,     30.00,      1.40,      1.40,         0,         0,         0,         0,         0
All,ok,drive,0189_000.2,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.44,      1.81,  14.6,     30.00,      1.90,      1.90,         0,         0,         0,         0,         0
All,ok,drive,0189_000.6,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.49,      1.98,  14.8,     30.00,      1.30,      1.30,         0,         0,         0,         0,         0
All,ok,drive,0198_004.4,NB,IB,      4.00,M821_5YR2023,M821_5YR2023,      0.63,      1.81,  20.9,     30.00,      1.40,      1.40,         0,         0,         0,         0,         0
