Purpose,Period,AccessMode,SegID,Direction,IB_OB,Mode,Name,LongName,Distance,Time,Speed,Headway,Riders,FromSkim_LCL,FromSkim_COR,FromSkim_BRT,FromSkim_EXP,FromSkim_LRT,FromSkim_CRT
All,ok,drive,0006_158.5,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.25,      0.65,  23.1,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_159.6,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.23,      0.60,  23.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_159.8,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.44,      1.16,  22.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_160.3,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.18,      0.50,  21.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_173.4,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.50,      1.64,  18.3,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_173.7,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.54,      1.42,  22.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_244.8,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.62,      2.49,  39.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_246.9,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.40,      2.17,  38.7,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_248.8,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.54,      2.31,  40.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_250.3,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.13,      0.20,  39.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_250.9,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.19,      0.29,  39.3,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_251.6,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.62,      0.93,  40.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_252.5,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.03,      1.56,  39.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_253.6,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.32,      1.92,  41.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_255.9,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.82,      1.36,  36.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_257.3,WB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.47,      0.94,  30.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_257.6,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.60,      0.93,  38.7,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_258.8,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.68,      1.35,  30.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_260.0,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.39,      3.67,  22.7,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_261.8,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.65,      1.82,  21.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_263.4,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.17,      0.33,  30.9,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_264.2,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.70,      1.32,  31.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_265.6,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.29,      0.65,  26.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_266.5,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.56,      3.27,  28.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_267.9,SB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.51,      0.81,  37.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0178_000.0,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.32,      1.46,  13.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0189_000.0,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.15,      0.53,  17.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0189_000.2,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.88,      3.74,  14.1,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0189_000.6,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.98,      4.06,  14.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0265_000.4,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.11,      0.53,  12.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2832_000.7,WB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.08,      0.26,  18.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2837_000.7,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.36,      1.42,  15.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2980_000.0,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.09,      0.31,  17.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,3014_001.4,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.20,      0.72,  16.7,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_158.5,WB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.25,      0.65,  23.1,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_159.6,WB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.23,      0.60,  23.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_159.8,WB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.44,      1.16,  22.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_160.3,WB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.18,      0.50,  21.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_173.4,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.50,      1.42,  21.1,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_173.7,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.54,      1.38,  23.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_244.8,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      1.62,      2.59,  37.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_246.9,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      1.39,      2.16,  38.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_248.8,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      1.57,      2.35,  40.1,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_250.9,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.64,      0.97,  39.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_251.6,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.22,      0.33,  40.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_252.5,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      1.00,      1.51,  39.7,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_253.6,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      1.31,      1.89,  41.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_255.9,WB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.83,      1.36,  36.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_257.3,EB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.19,      0.38,  30.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_257.6,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.57,      1.07,  32.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_258.8,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.69,      1.00,  41.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_260.0,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      1.40,      2.24,  37.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_261.8,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.85,      2.06,  24.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_263.4,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.17,      0.30,  34.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_264.2,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.72,      1.28,  33.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_265.6,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.29,      0.50,  34.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_266.5,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.66,      1.15,  34.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_267.9,NB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.44,      0.91,  29.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0178_000.0,WB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.32,      1.24,  15.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0189_000.2,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.31,      1.19,  15.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0189_000.6,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.98,      3.96,  14.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0265_000.4,WB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.11,      0.50,  13.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2832_000.7,EB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.08,      0.26,  18.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2837_000.7,SB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.36,      1.38,  15.7,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2980_000.0,WB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.09,      0.32,  16.9,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,3014_001.4,WB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.20,      0.72,  16.7,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_269.0,SB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.37,      0.63,  35.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_269.6,SB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.44,      0.75,  35.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_270.6,SB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.45,      0.71,  38.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_271.6,SB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.37,      0.58,  38.3,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_272.7,EB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.46,      0.80,  34.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_274.7,EB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.58,      0.91,  38.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_275.3,EB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.62,      0.97,  38.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_276.4,EB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.78,      1.22,  38.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_278.5,EB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.52,      0.90,  34.7,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0068_032.7,NB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.63,      2.44,  15.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0068_033.6,NB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.93,      3.18,  17.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0092_000.0,EB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.19,      0.75,  15.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0194_000.0,EB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.81,      1.88,  25.9,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0194_000.8,EB,IB,      4.00,M806_EglMtn,M806_EglMtn,      1.06,      3.05,  20.9,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0265_000.4,EB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.11,      0.53,  12.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2878_005.4,NB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.50,      2.57,  11.7,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2881_009.7,EB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.65,      2.06,  18.9,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2881_010.3,EB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.42,      1.41,  17.9,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2881_010.8,EB,IB,      4.00,M806_EglMtn,M806_EglMtn,      1.11,      3.84,  17.3,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2881_011.9,EB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.98,      3.72,  15.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2937_000.9,EB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.64,      1.81,  21.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2941_000.0,NB,IB,      4.00,M806_EglMtn,M806_EglMtn,      1.04,      3.82,  16.3,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2980_000.0,EB,IB,      4.00,M806_EglMtn,M806_EglMtn,      0.09,      0.31,  17.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_279.6,EB,OB,      4.00,M806_EglMtn,M806_EglMtn,      0.35,      0.67,  31.3,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_282.2,EB,OB,      4.00,M806_EglMtn,M806_EglMtn,      0.52,      0.95,  32.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_283.3,SB,OB,      4.00,M806_EglMtn,M806_EglMtn,      0.97,      2.73,  21.3,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0068_031.0,NB,OB,      4.00,M806_EglMtn,M806_EglMtn,      0.51,      2.51,  12.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0068_031.5,NB,OB,      4.00,M806_EglMtn,M806_EglMtn,      0.23,      1.62,   8.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0068_031.7,NB,OB,      4.00,M806_EglMtn,M806_EglMtn,      1.01,      4.07,  14.9,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0068_032.7,NB,OB,      4.00,M806_EglMtn,M806_EglMtn,      0.21,      0.80,  15.7,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2889_001.3,NB,OB,      4.00,M806_EglMtn,M806_EglMtn,      0.52,      1.94,  16.1,         0,         0,         0,         0,         0,         0,         0,         0
