Purpose,Period,AccessMode,SegID,Direction,IB_OB,Mode,Name,LongName,Distance,Time,Speed,Headway,Riders,FromSkim_LCL,FromSkim_COR,FromSkim_BRT,FromSkim_EXP,FromSkim_LRT,FromSkim_CRT
All,ok,drive,0006_158.5,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.25,      0.66,  22.7,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_159.6,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.23,      0.61,  22.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_159.8,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.44,      1.17,  22.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_160.3,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.18,      0.53,  20.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_173.4,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.50,      1.82,  16.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_173.7,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.54,      1.46,  22.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_244.8,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.62,      2.45,  39.7,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_246.9,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.40,      2.13,  39.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_248.8,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.54,      2.31,  40.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_250.3,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.13,      0.20,  39.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_250.9,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.19,      0.30,  38.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_251.6,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.62,      0.94,  39.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_252.5,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.03,      1.59,  38.9,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_253.6,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.32,      1.98,  40.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_255.9,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.82,      1.28,  38.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_257.3,WB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.47,      0.94,  30.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_257.6,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.60,      0.97,  37.1,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_258.8,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.68,      1.52,  26.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_260.0,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.39,      3.90,  21.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_261.8,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.65,      2.01,  19.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_263.4,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.17,      0.35,  29.1,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_264.2,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.70,      1.43,  29.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_265.6,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.29,      0.71,  24.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_266.5,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.56,      3.52,  26.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_267.9,SB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.51,      0.83,  36.9,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0178_000.0,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.32,      1.62,  11.9,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0189_000.0,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.15,      0.53,  17.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0189_000.2,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.88,      3.72,  14.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0189_000.6,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.98,      4.08,  14.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0265_000.4,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.11,      0.54,  12.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2832_000.7,WB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.08,      0.26,  18.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2837_000.7,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.36,      1.48,  14.6,         0,         0,         0,         0,         0,         0,         0,         0
