Z,CO_TAZID,SUBAREAID,TOTHH,HHPOP,HHSIZE,TOTWRK,HHV0,HHV1,HHV2,HHV3,AUTOS,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,AVGINCOME,ENROL_ELEM,ENROL_MIDL,ENROL_HIGH,CO_FIPS,CO_NAME,CITY_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME
     23.00,  30023.00,      1.00,     61.50,    257.40,      4.19,     97.13,      1.00,      8.00,     30.80,     21.80,    145.90,    166.60,     20.90,     73.50,     72.20,    188.30,     12.30,      8.60,     49.10,     24.40,      6.70,     16.60,     14.50,     34.40,         0,         0,     18.60,      3.20,  68948.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     24.00,  30024.00,      1.00,    135.30,    507.40,      3.75,    201.10,      3.00,     21.00,     65.70,     45.60,    312.10,     12.80,      1.70,      3.70,      7.40,     32.70,      1.00,      0.70,      2.80,      0.90,      0.60,      1.40,      2.50,      2.90,         0,         0,     12.90,      7.10,  68948.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     25.00,  30025.00,      1.00,    300.00,    778.50,      2.60,    350.11,     13.10,     79.70,    130.40,     76.70,    609.10,    158.10,      8.50,     11.70,    137.90,    174.50,      6.30,      2.20,      8.60,      3.10,      1.70,    105.20,     19.30,     11.70,         0,         0,      0.70,     15.80,  61738.00,    457.00,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     26.00,  30026.00,      1.00,    183.00,    307.30,      1.68,    140.63,     13.30,     76.50,     68.90,     24.30,    299.40,    181.50,     13.40,     17.90,    150.20,    191.00,     12.60,      0.80,      9.60,      8.30,      0.60,     43.00,     83.50,     23.10,         0,         0,         0,      9.60,  54266.00,    515.00,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     27.00,  30027.00,      1.00,     66.80,    177.00,      2.65,     81.70,      2.30,     14.60,     30.20,     19.70,    143.90,     10.30,      1.60,      3.30,      5.40,     74.60,      0.90,      0.70,      2.50,      0.80,      0.50,      1.20,      1.10,      2.60,         0,         0,     60.80,      3.50,  71342.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     28.00,  30028.00,      1.00,    156.30,    253.80,      1.62,     99.27,      4.30,     29.40,     54.50,     20.70,    210.90,    259.70,     30.50,    124.10,    105.10,    336.40,     18.00,     12.50,    107.10,     17.00,      9.80,     24.20,     21.00,     50.10,         0,         0,     68.70,      8.20,  71342.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     29.00,  30029.00,      1.00,    185.10,    475.30,      2.57,    220.41,      7.60,     48.80,     80.20,     48.60,    379.20,      3.60,      0.40,      1.80,      1.40,     26.90,      0.20,      0.20,      0.70,      1.10,      0.10,      0.30,      0.30,      0.70,         0,         0,     13.60,      9.70,  71342.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     30.00,  30030.00,      1.00,    309.30,    728.70,      2.36,    317.92,     18.30,     99.60,    125.30,     66.10,    581.50,     83.40,      8.70,      2.50,     72.20,     99.60,      8.70,         0,         0,      2.50,     31.80,         0,     32.60,      7.80,         0,         0,         0,     16.30,  50633.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     31.00,  30031.00,      1.00,    200.00,    449.40,      2.25,    196.19,     12.60,     68.30,     80.10,     39.00,    365.00,    180.20,     53.40,     52.60,     74.20,    190.70,      2.30,     51.10,     52.60,         0,     33.10,         0,         0,     41.10,         0,         0,         0,     10.50,  48874.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     32.00,  30032.00,      1.00,    127.70,    358.70,      2.81,    153.50,      5.60,     32.60,     56.10,     33.40,    261.70,      3.60,      0.40,      1.80,      1.40,     13.20,      0.20,      0.20,      0.70,      1.10,      0.10,      0.30,      0.30,      0.70,         0,         0,      2.90,      6.70,  54597.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     33.00,  30033.00,      1.00,    153.00,    483.30,      3.16,    193.44,      6.30,     37.20,     69.00,     40.50,    316.90,     11.30,      0.70,      8.40,      2.20,     22.20,      0.40,      0.30,      1.00,      7.40,      0.20,      0.50,      0.40,      1.10,         0,         0,      2.90,      8.00,  47880.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     34.00,  30034.00,      1.00,    173.30,    443.70,      2.56,    207.91,      6.30,     45.30,     77.10,     44.80,    356.20,     16.40,      1.20,     10.50,      4.70,     25.50,      1.20,         0,     10.50,         0,      4.70,         0,         0,         0,         0,         0,         0,      9.10,  72580.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     35.00,  30035.00,      1.00,    257.10,    641.60,      2.50,    301.26,      9.60,     70.70,    114.10,     62.80,    518.70,         0,         0,         0,         0,     13.50,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     13.50,  69784.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
