Z,CO_TAZID,SUBAREAID,TOTHH,HHPOP,HHSIZE,TOTWRK,HHV0,HHV1,HHV2,HHV3,AUTOS,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,AVGINCOME,ENROL_ELEM,ENROL_MIDL,ENROL_HIGH,CO_FIPS,CO_NAME,CITY_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME
     57.00,  30057.00,      1.00,     85.20,    161.70,      1.90,     80.30,      3.60,     31.10,     36.20,     14.30,    153.70,         0,         0,         0,         0,      5.90,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      1.40,      4.50,  79606.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     58.00,  30058.00,      1.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  79606.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     59.00,  30059.00,      1.00,     66.80,    177.00,      2.65,     81.70,      2.30,     15.00,     30.10,     19.30,    142.90,         0,         0,         0,         0,     63.60,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     60.10,      3.50,  71342.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     60.00,  30060.00,      1.00,     72.90,    193.40,      2.65,     89.35,      2.60,     17.10,     32.80,     20.40,    154.20,         0,         0,         0,         0,     76.80,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     73.00,      3.80,  71342.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     61.00,  30061.00,      1.00,    239.60,    618.10,      2.58,    269.24,     11.00,     64.70,    104.50,     59.50,    481.80,         0,         0,         0,         0,     26.20,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     13.60,     12.60,  52227.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     62.00,  30062.00,      1.00,    204.50,    614.50,      3.00,    254.97,      8.20,     53.20,     90.80,     52.30,    417.80,     64.50,      8.40,     15.40,     40.70,     80.40,      5.50,      2.90,     11.40,      4.00,      2.30,      5.70,      5.00,     27.70,         0,         0,      5.00,     10.80,  52635.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     63.00,  30063.00,      1.00,     21.60,     73.00,      3.38,     28.90,      0.80,      4.70,      9.80,      6.30,     46.20,    194.30,         0,         0,    194.30,    196.20,         0,         0,         0,         0,         0,    194.30,         0,         0,         0,         0,      0.70,      1.10,  53556.00,         0,         0,   1545.00,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     64.00,  30064.00,      1.00,    210.30,    582.10,      2.77,    247.67,     10.00,     60.10,     89.60,     50.60,    416.50,    157.90,     81.50,     19.90,     56.50,    169.70,      5.60,     75.90,     14.70,      5.20,      2.90,      7.40,      6.30,     39.90,         0,         0,      0.70,     11.10,  52227.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     65.00,  30065.00,      1.00,    265.30,    674.10,      2.54,    293.31,     14.20,     79.80,    109.10,     62.40,    516.20,     69.30,     33.50,      1.10,     34.70,     83.10,     33.30,      0.20,      0.80,      0.30,      0.20,      4.30,      1.10,     29.10,         0,         0,         0,     14.00,  53556.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     66.00,  30066.00,      1.00,    162.50,    280.90,      1.73,    120.54,     12.80,     70.10,     59.10,     20.50,    260.10,    135.90,     63.20,      7.30,     65.40,    144.50,     41.90,     21.30,      5.40,      1.90,      1.10,      2.70,     10.70,     50.90,         0,         0,         0,      8.50,  44338.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
