CO_FIPS,RTP32v900,RTP_2032_SLC,RTP_2032_SLC_Select,RTP_2032_SLCo_Phase3
3,181,182,181,181
11,"11,255","14,421","11,535","12,777"
35,"204,999","233,325","219,761","240,069"
49,"39,768","44,566","40,139","44,562"
57,"10,232","12,646","10,393","10,427"
