merged_point_id,segment_ids_with_directions,geometry,stop_xy,segment_id,direction,travelDirection
45,0013_002.9_W,POINT (-112.02280342472648 41.5296623710478),414680_4598060,0013_002.9,W,EB
45,1086_003.0_W,POINT (-112.02280342472648 41.5296623710478),414680_4598060,1086_003.0,W,EB
46,0013_003.3_W,POINT (-112.05266158723894 41.532810254752754),412180_4598440,0013_003.3,W,EB
46,1098_000.8_W,POINT (-112.05266158723894 41.532810254752754),412180_4598440,1098_000.8,W,EB
46,WFRC_8050_W,POINT (-112.05266158723894 41.532810254752754),412180_4598440,WFRC_8050,W,EB
47,0013_004.9_W,POINT (-112.06606352971473 41.5354031799515),411080_4598740,0013_004.9,W,EB
47,0015_363.7_W,POINT (-112.06606352971473 41.5354031799515),411080_4598740,0015_363.7,W,EB
48,0013_005.6_W,POINT (-112.08358185473469 41.54016654722456),409620_4599300,0013_005.6,W,EB
49,0015_241.6_W,POINT (-111.81070600166258 39.939635071065275),430740_4421380,0015_241.6,W,EB
50,0015_242.4_W,POINT (-111.8026410894764 39.95041583260621),431440_4422560,0015_242.4,W,EB
51,0015_246.9_W,POINT (-111.76247790095837 40.00467854506921),434920_4428560,0015_246.9,W,EB
