Purpose,Period,AccessMode,SegID,LinkID,Direction,IB_OB,N,Mode,Name,LongName,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT
All,ok,drive,,10025_26470,SB,IB,  10025.00,      4.00,FD605,FD605,     30.00,      9.41,      0.32,         0,         0,         0,         0,      9.09,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,1418_000.9,26496_26494,SB,IB,  26496.00,      4.00,FD605,FD605,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0068_069.0,26522_26517,WB,IB,  26522.00,      4.00,FD605,FD605,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.05,      0.05,         0,         0,         0,         0,         0
All,ok,drive,0068_069.2,26542_26531,WB,IB,  26542.00,      4.00,FD605,FD605,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0
All,ok,drive,1420_000.0,26558_26553,WB,IB,  26558.00,      4.00,FD605,FD605,     30.00,      1.74,      1.74,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,1420_000.3,26574_26568,WB,IB,  26574.00,      4.00,FD605,FD605,     30.00,      0.17,      0.17,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,1420_000.7,26593_26574,WB,IB,  26593.00,      4.00,FD605,FD605,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.18,      0.07,         0,         0,         0,         0,      0.11
All,ok,drive,1436_000.0,26666_26653,WB,IB,  26666.00,      4.00,FD605,FD605,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.23,         0,         0,         0,         0,         0,      0.23
All,ok,drive,0105_000.2,26670_26652,WB,IB,  26652.00,      4.00,FD605,FD605,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.50,      0.33,         0,         0,         0,         0,      0.17
All,ok,drive,1436_000.0,26679_26666,WB,IB,  26679.00,      4.00,FD605,FD605,     30.00,      0.03,      0.03,         0,         0,         0,         0,         0,      0.37,      0.33,         0,         0,         0,         0,      0.04
All,ok,drive,0105_000.7,26706_26688,WB,IB,  26706.00,      4.00,FD605,FD605,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.30,      0.19,         0,         0,         0,         0,      0.11
All,ok,drive,,26470_10025,NB,OB,  10025.00,      4.00,FD605,FD605,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0089_388.4,26522_26532,NB,OB,  26522.00,      4.00,FD605,FD605,     30.00,         0,         0,         0,         0,         0,         0,         0,      3.70,      0.05,         0,         0,         0,         0,      3.65
All,ok,drive,0068_069.2,26531_26542,EB,OB,  26531.00,      4.00,FD605,FD605,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,1420_000.0,26542_26553,EB,OB,  26542.00,      4.00,FD605,FD605,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.71,      0.02,         0,         0,         0,         0,      1.69
