Purpose,Period,AccessMode,SegID,LinkID,Direction,IB_OB,N,Mode,Name,LongName,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT
All,ok,drive,,50035_68833,SB,IB,  50035.00,      4.00,Cedar_Exp,Cedar_Exp,     60.00,      0.11,      0.11,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0145_001.1,62317_68853,EB,IB,  62317.00,      4.00,Cedar_Exp,Cedar_Exp,     60.00,      0.09,      0.09,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,2881_006.5,68231_68175,SB,IB,  68231.00,      4.00,Cedar_Exp,Cedar_Exp,     60.00,         0,         0,         0,         0,         0,         0,         0,      0.11,      0.11,         0,         0,         0,         0,         0
All,ok,drive,2889_000.0,69027_69017,SB,IB,  69027.00,      4.00,Cedar_Exp,Cedar_Exp,     60.00,      0.11,      0.11,         0,         0,         0,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0
All,ok,drive,,62317_62314,WB,OB,  62317.00,      4.00,Cedar_Exp,Cedar_Exp,     60.00,      0.06,      0.06,         0,         0,         0,         0,         0,      0.09,      0.09,         0,         0,         0,         0,         0
All,ok,drive,2881_004.7,67852_67900,NB,OB,  67852.00,      4.00,Cedar_Exp,Cedar_Exp,     60.00,      0.13,      0.13,         0,         0,         0,         0,         0,      0.05,      0.05,         0,         0,         0,         0,         0
All,ok,drive,2881_006.5,68231_68273,NB,OB,  68231.00,      4.00,Cedar_Exp,Cedar_Exp,     60.00,         0,         0,         0,         0,         0,         0,         0,      0.11,      0.11,         0,         0,         0,         0,         0
All,ok,drive,,68833_50035,NB,OB,  50035.00,      4.00,Cedar_Exp,Cedar_Exp,     60.00,         0,         0,         0,         0,         0,         0,         0,      0.11,      0.11,         0,         0,         0,         0,         0
All,ok,drive,,60209_60211,NB,IB,  60209.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.05,      0.05,         0,         0,         0,         0,         0
All,ok,drive,,60252_60258,WB,IB,  60252.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.39,      1.39,         0,         0,         0,         0,         0
All,ok,drive,,63172_60181,NB,IB,  63172.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.05,      0.05,         0,         0,         0,         0,         0
